page,clicks,impressions,ctr,position
https://formbeep.com/,13,61,0.21311475409836064,1.8360655737704918
https://app.formbeep.com/,0,2,0,1
https://docs.formbeep.com/,0,4,0,1.25
https://formbeep.com/#how-it-works,0,4,0,1.25
https://formbeep.com/#pricing,0,4,0,1.25
https://formbeep.com/blog,0,28,0,2.142857142857143
https://formbeep.com/blog/,0,4,0,1.75
https://formbeep.com/blog/framer-whatsapp-notifications/,0,24,0,8.375
https://formbeep.com/blog/webflow-whatsapp-notifications/,0,17,0,10.058823529411764
https://formbeep.com/blog/whatsapp-business-api-explained/,0,160,0,35.5875
https://formbeep.com/blog/whatsapp-form-notifications/,0,31,0,28.741935483870968
https://formbeep.com/blog/why-you-are-missing-leads/,0,29,0,6.137931034482759
https://formbeep.com/integrations/framer/,0,7,0,6.142857142857143
https://formbeep.com/integrations/webflow/,0,8,0,3.25
https://formbeep.com/terms,0,1,0,1
https://formbeep.com/terms/,0,23,0,4.086956521739131
https://formbeep.com/tools/whatsapp-business-bio-generator/,0,15,0,11.8
https://formbeep.com/tools/whatsapp-contact-form-generator/,0,67,0,27.80597014925373
https://formbeep.com/tools/whatsapp-link-generator/,0,10,0,6.3
https://formbeep.com/tools/whatsapp-message-formatter/,0,56,0,13.464285714285714
https://formbeep.com/tools/whatsapp-qr-code-generator/,0,16,0,43.5625
https://formbeep.com/whatsapp-api-pricing/,0,2047,0,8.5095261358085
